"Schema","Table","Column","What data is it?","Who/what does it describe?","Business purpose","Sensitivity","Personal","Handling requirements"
"Finance","account_properties","chart_id","Unique Identification on related table","account properties table related identification","To identify related table","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","is_payable","account verification","account properties usability","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","is_debt","account verification","account properties usability","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","is_bank_account","account verification","account properties usability","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","is_credit_card","account verification","account properties usability","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","requires_reconciliation","account verification","account properties usability","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","created_at","Date and Time created","account properties created","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","transactions","transaction_id","Transaction Identification","Transaction record","To uniquely identify and reference the transaction","Confidential","No","Access limited to authorized staff; audit logging on access; encrypted idempotency key"
"Finance","transactions","description","Transaction Description","Transaction details","To provide transaction context and details","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","transactions","idempotency_key","Unique Transaction Key","Prevents duplicate transactions","To ensure transaction uniqueness and prevent duplicates","Sensitive","No","Encrypted; access limited; audit logging on access"
"Finance","transactions","client_id","Related Client Identification","Transaction owner","To link transaction to client","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","transactions","created_at","Date and Time created","Transaction timestamp","To have recorded time when transaction created","Internal","No","Standard backup/retention; audit logging on modification"
"Finance","journals","journal_id","Journal Entry Identification","Journal entry record","To uniquely identify and reference journal entry","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","journals","transaction_id","Related Transaction Identification","Journal to transaction link","To link journal to transaction","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","journals","chart_id","Related Chart Identification","Journal to chart of account link","To link journal to account","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","journals","date","Journal Entry Date","Date when entry posted","To record entry date for financial reporting","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","journals","journal","Debit/Credit Indicator","Transaction direction","To indicate debit or credit","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","journals","amount","Transaction Amount","Financial value","To record financial amount in journal","Sensitive","No","Encryption considered; access limited; audit logging on access"
"Finance","customers","customer_id","Customer Identification","Customer record","To uniquely identify and reference customer","Confidential","Yes","Access limited to authorized staff; encrypted at rest; no export to personal devices; audit logging on access"
"Finance","customers","customer_name","Customer Name","Customer identity","To identify customer by name","Sensitive","Yes","Encrypted at rest and in transit; role-based access; no email/IM transmission; deletion on request"
"Finance","customers","contact_info","Customer Contact Information","Customer phone/contact details","To maintain customer contact","Sensitive","Yes","Encrypted at rest and in transit; role-based access; no email/IM transmission; retention per policy"
"Finance","customers","email","Customer Email Address","Customer email communication","To communicate with customer","Sensitive","Yes","Encrypted at rest and in transit; role-based access; no email/IM transmission; deletion on request"
"Finance","customers","address","Customer Address","Customer location","To maintain customer delivery/billing address","Sensitive","Yes","Encrypted at rest and in transit; role-based access; no email/IM transmission; retention per policy"
"Finance","vendors","vendor_id","Vendor Identification","Vendor record","To uniquely identify and reference vendor","Confidential","No","Access limited to authorized staff; encrypted at rest; audit logging on access"
"Finance","vendors","vendor_name","Vendor Name","Vendor identity","To identify vendor by name","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","vendors","contact_info","Vendor Contact Information","Vendor phone/contact details","To maintain vendor contact","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","vendors","email","Vendor Email Address","Vendor email communication","To communicate with vendor","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","vendors","address","Vendor Address","Vendor location","To maintain vendor delivery address","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","products","product_id","Product Identification","Product record","To uniquely identify and reference product","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","products","product_name","Product Name","Product identity","To identify product by name","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","products","description","Product Description","Product details","To provide product details and specifications","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","products","product_unit","Product Unit of Measure","Product quantity unit","To specify product measurement unit","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","operations","operation_id","Operation Identification","Operation record","To uniquely identify and reference operation","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","operations","product_id","Related Product Identification","Product in operation","To link operation to product","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","operations","quantity","Operation Quantity","Quantity in operation","To track operation quantity","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","operations","product_cost","Product Cost","Product unit cost","To record product cost","Sensitive","No","Encryption considered; access limited to authorized staff; audit logging on access"
"Finance","operations","product_price","Product Price","Product unit price","To record product selling price","Sensitive","No","Encryption considered; access limited to authorized staff; audit logging on access"
"Finance","operations","purchase_date","Purchase Date","Date of operation","To record operation date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","operations","created_at","Date and Time created","Operation creation timestamp","To have recorded time when operation created","Internal","No","Standard backup/retention; audit logging on modification"
"Finance","warehouses","warehouse_id","Warehouse Identification","Warehouse record","To uniquely identify and reference warehouse","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","warehouses","warehouse_name","Warehouse Name","Warehouse identity","To identify warehouse by name","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","warehouses","location","Warehouse Location","Warehouse physical location","To record warehouse physical location","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","account_receivables","receivable_id","Accounts Receivable Identification","AR record","To uniquely identify and reference AR transaction","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","account_receivables","transaction_id","Related Transaction Identification","AR to transaction link","To link AR to transaction","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","account_receivables","customer_id","Related Customer Identification","AR customer link","To link AR to customer","Confidential","Yes","Access limited to authorized staff; audit logging on access"
"Finance","ar_ext","ar_ext_id","AR Extension Identification","AR extension record","To uniquely identify and reference AR extension","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","ar_ext","amount","AR Amount Due","Amount owed by customer","To record amount customer owes","Sensitive","No","Encryption considered; access limited; audit logging on access"
"Finance","ar_ext","due_date","AR Due Date","Payment due date","To record when payment is due","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_ext","invoice_date","Invoice Date","Date invoice issued","To record invoice date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_ext","status","AR Status","Payment status","To track payment status","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_ext","receivable_id","Related Receivable Identification","AR extension to AR link","To link AR extension to AR","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","account_payables","payable_id","Accounts Payable Identification","AP record","To uniquely identify and reference AP transaction","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","account_payables","transaction_id","Related Transaction Identification","AP to transaction link","To link AP to transaction","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","account_payables","vendor_id","Related Vendor Identification","AP vendor link","To link AP to vendor","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","ap_ext","ap_ext_id","AP Extension Identification","AP extension record","To uniquely identify and reference AP extension","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","ap_ext","amount","AP Amount Due","Amount owed to vendor","To record amount owed to vendor","Sensitive","No","Encryption considered; access limited; audit logging on access"
"Finance","ap_ext","due_date","AP Due Date","Payment due date","To record when payment is due","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ap_ext","invoice_date","Invoice Date","Date invoice received","To record invoice date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ap_ext","status","AP Status","Payment status","To track payment status","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ap_ext","payable_id","Related Payable Identification","AP extension to AP link","To link AP extension to AP","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_audits","management_id","Inventory Audit Identification","Inventory audit record","To uniquely identify and reference inventory audit","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_audits","product_id","Related Product Identification","Product in audit","To link audit to product","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","inventory_audits","warehouse_id","Related Warehouse Identification","Warehouse in audit","To link audit to warehouse","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","inventory_audits","transaction_id","Related Transaction Identification","Audit to transaction link","To link audit to transaction","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_audits","action_type","Inventory Action Type","Type of inventory action","To record type of inventory movement","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_audits","quantity","Inventory Quantity","Quantity in audit","To record quantity affected","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_audits","movement_date","Movement Date","Date of inventory movement","To record movement date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_audits","created_at","Date and Time created","Audit creation timestamp","To have recorded time when audit created","Internal","No","Standard backup/retention; audit logging on modification"
"Finance","purchase_returns","return_id","Purchase Return Identification","Return record","To uniquely identify and reference purchase return","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","purchase_returns","payable_id","Related Payable Identification","Return to AP link","To link return to AP","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","purchase_returns","return_amount","Return Amount","Amount of return","To record return amount","Sensitive","No","Encryption considered; access limited; audit logging on access"
"Finance","purchase_returns","return_date","Return Date","Date of return","To record return date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","sale_returns","return_id","Sales Return Identification","Return record","To uniquely identify and reference sales return","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","sale_returns","receivable_id","Related Receivable Identification","Return to AR link","To link return to AR","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","sale_returns","return_amount","Return Amount","Amount of return","To record return amount","Sensitive","No","Encryption considered; access limited; audit logging on access"
"Finance","sale_returns","return_date","Return Date","Date of return","To record return date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","transfer_id","Inventory Transfer Identification","Transfer record","To uniquely identify and reference inventory transfer","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","from_location_id","Source Warehouse Identification","Transfer source","To identify source warehouse","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","to_location_id","Destination Warehouse Identification","Transfer destination","To identify destination warehouse","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","product_id","Related Product Identification","Product transferred","To identify product being transferred","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","quantity","Transfer Quantity","Quantity transferred","To record transfer quantity","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","transfer_date","Transfer Date","Date of transfer","To record transfer date","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","inventory_transfers","notes","Transfer Notes","Additional transfer information","To provide transfer context","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","event_log","event_id","Event Log Identification","Event record","To uniquely identify and reference event","Internal","No","Automatic logging; standard backup/retention"
"Finance","event_log","event_type","Event Type","Type of event","To categorize event type","Internal","No","Automatic logging; standard backup/retention"
"Finance","event_log","payload","Event Payload","Event detailed information","To store event details","Confidential","No","Access limited to authorized staff; audit logging on access"
"Finance","event_log","status","Event Status","Processing status of event","To track event processing status","Internal","No","Automatic logging; standard backup/retention"
"Finance","event_log","idempotency_key","Event Idempotency Key","Prevents duplicate events","To ensure event uniqueness","Sensitive","No","Encrypted; access limited; audit logging on access"
"Finance","event_log","created_at","Date and Time created","Event creation timestamp","To have recorded time when event created","Internal","No","Automatic logging; standard backup/retention"
"Finance","event_log","processed_at","Date and Time processed","Event processing timestamp","To have recorded time when event processed","Internal","No","Automatic logging; standard backup/retention"
"Finance","ar_product_line","ar_line_id","AR Product Line Identification","AR line item record","To uniquely identify and reference AR line item","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_product_line","invoice_id","Invoice Identification","Invoice reference","To link line to invoice","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_product_line","product_id","Related Product Identification","Product in line item","To link line item to product","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","ar_product_line","receivable_id","Related Receivable Identification","Line to AR link","To link line item to AR","Internal","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_product_line","quantity","Line Item Quantity","Quantity in line item","To record quantity","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","ar_product_line","discount","Line Item Discount","Discount amount","To record discount","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","tax_types","tax_type_id","Tax Type Identification","Tax type record","To uniquely identify and reference tax type","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","tax_types","client_id","Related Client Identification","Tax type owner","To link tax type to client","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","tax_types","chart_id","Related Chart Identification","Tax type to account link","To link tax type to account","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","tax_types","tax_name","Tax Type Name","Tax type identity","To identify tax type by name","Internal","No","Access limited to authorized staff; standard backup/retention"
"Finance","tax_types","tax_code","Tax Code","Tax code reference","To identify tax by code","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","tax_types","tax_rate","Tax Rate","Tax percentage rate","To record tax rate percentage","Confidential","No","Access limited to authorized staff; audit logging on modification"
"Finance","tax_types","is_active","Tax Type Active Status","Tax type usability","To track if tax type is active","Internal","No","Access limited to authorized staff; audit logging on modification"
